age,gender,has_ISA,retirement_age,ATR,region,recommend_isa
57,F,0,57,6,1,1
51,F,0,71,1,2,1
80,F,0,72,2,2,0
39,M,0,64,5,4,0
34,F,0,66,10,4,1
61,F,0,63,5,4,1
47,F,0,60,6,2,0
40,F,1,65,5,2,1
52,M,0,72,6,4,1
69,M,0,55,6,4,1
70,F,0,69,5,1,0
94,F,1,59,2,2,0
46,M,1,71,4,1,1
60,M,1,55,4,3,0
66,M,1,74,8,3,0
73,M,0,56,9,3,1
47,M,0,73,4,1,1
75,M,0,60,8,4,1
48,M,0,69,8,4,1
40,F,1,63,2,4,1
87,F,1,70,8,3,0
99,F,0,71,2,2,0
44,F,0,74,9,3,1
26,M,1,67,5,2,1
67,F,1,60,4,1,0
20,M,1,63,3,2,0
48,M,0,65,4,1,1
46,F,1,66,2,1,0
53,M,1,73,2,1,1
69,F,1,67,10,2,1
40,F,1,62,4,3,0
95,F,0,75,9,3,1
62,M,1,69,2,3,0
80,F,1,74,5,4,0
96,F,0,63,6,1,1
90,F,0,63,9,2,1
31,F,0,57,6,2,1
68,F,0,57,7,2,0
39,F,1,55,7,1,1
91,M,1,73,10,3,0
23,F,1,74,8,4,1
40,M,1,70,5,2,1
18,M,1,58,6,4,1
21,M,1,60,1,3,0
81,F,1,70,10,4,1
25,F,0,71,1,1,1
32,M,0,65,8,1,1
82,F,0,58,9,2,1
58,F,0,67,5,4,0
99,M,0,61,5,4,0
57,F,1,67,2,2,0
34,M,1,75,8,4,0
64,F,1,61,9,1,1
54,M,0,66,8,1,1
50,F,0,57,5,1,0
55,F,0,56,10,4,1
18,F,1,64,10,2,1
33,F,1,70,5,3,0
39,F,0,56,9,3,1
68,F,0,65,6,3,1
98,F,0,72,7,3,0
22,F,0,56,8,2,1
71,F,1,58,8,3,1
22,M,1,60,6,4,0
43,F,0,70,4,4,1
68,F,1,60,4,1,1
65,F,1,67,8,2,1
18,F,0,73,3,4,1
75,F,0,67,3,1,0
36,M,0,69,5,3,1
24,M,1,73,2,4,1
48,F,1,71,4,1,0
77,M,1,73,6,4,1
77,F,1,64,1,4,0
20,M,1,74,7,4,1
82,M,0,65,1,4,0
48,F,0,65,2,3,0
20,F,1,63,7,3,0
30,M,1,74,1,2,0
48,F,0,65,2,4,1
91,M,0,68,8,1,0
95,M,0,75,3,2,0
30,F,1,61,8,4,1
89,F,1,58,9,1,0
22,M,1,74,5,2,0
19,F,1,72,1,1,0
97,M,0,64,2,4,0
70,F,0,61,7,2,0
63,F,0,71,2,2,1
35,M,0,65,7,1,0
21,F,0,70,1,3,0
68,F,1,58,3,4,1
98,F,1,67,10,1,0
48,F,0,58,3,2,0
95,M,1,71,1,3,0
65,M,1,72,2,3,1
29,M,1,69,4,4,1
43,F,1,69,4,2,0
77,F,0,63,3,4,1
79,F,1,69,3,3,0
78,M,0,62,7,2,0
74,F,0,73,6,2,1
70,F,0,63,1,3,1
83,M,0,69,6,4,1
100,M,0,65,6,2,0
49,F,0,70,9,1,1
78,M,1,61,10,2,0
24,F,1,68,2,2,0
36,F,0,68,8,1,1
82,F,1,72,10,1,1
86,M,1,71,8,3,1
28,M,0,68,4,4,0
71,M,1,60,2,3,1
34,F,1,60,5,1,1
58,F,1,59,10,4,0
42,M,0,57,3,2,1
24,F,1,65,10,4,0
42,M,1,64,9,3,0
18,M,0,57,5,3,1
77,M,1,75,5,2,0
20,M,0,58,1,4,1
73,M,0,69,1,4,0
58,M,1,69,3,4,0
49,M,1,60,6,3,1
71,F,1,68,8,4,1
74,M,0,62,3,3,1
95,F,0,70,10,3,1
78,M,1,72,4,3,0
53,M,1,72,3,4,0
100,M,1,55,6,3,1
24,M,1,64,7,4,1
95,M,1,70,7,1,0
38,M,0,68,3,1,1
18,M,1,62,7,3,1
45,M,0,68,6,4,1
54,M,0,59,8,4,1
38,F,1,61,6,3,0
57,F,1,71,8,4,0
58,F,0,68,1,3,1
80,M,0,55,1,3,0
41,F,0,59,2,2,1
87,M,0,63,4,2,0
44,F,1,63,6,3,1
74,M,1,58,9,1,1
76,M,1,63,9,3,0
37,M,0,63,3,1,0
73,M,1,74,7,2,1
67,F,0,59,1,3,1
32,F,0,70,10,2,1
94,M,1,73,9,4,0
75,M,0,55,9,3,0
87,F,0,68,5,4,1
79,M,1,56,6,2,0
53,M,0,56,1,1,1
49,F,0,72,10,3,1
89,F,1,64,9,4,0
26,F,0,73,6,3,1
19,F,0,66,6,1,0
50,M,0,74,4,3,0
22,F,1,72,1,3,1
99,F,1,63,2,3,1
39,M,0,62,2,2,0
23,M,1,68,6,3,1
81,M,1,57,6,3,1
22,M,0,63,8,3,0
64,M,0,67,4,2,0
25,M,0,60,2,3,0
66,F,1,75,5,2,1
62,M,1,65,4,4,0
35,M,0,73,1,2,0
41,F,1,73,7,3,0
79,F,1,61,4,4,1
65,F,1,66,5,3,0
66,M,1,67,2,1,1
65,F,0,71,7,2,1
83,F,1,58,6,4,1
38,F,1,67,2,3,1
43,F,0,70,8,3,1
39,F,1,67,3,2,0
90,F,0,69,7,3,1
97,M,0,69,4,1,0
81,F,1,72,3,4,1
98,F,0,62,6,2,1
89,F,1,65,4,3,1
58,M,1,63,10,4,1
99,M,0,69,4,4,0
19,M,1,61,4,2,1
86,F,0,70,6,3,1
54,F,1,66,8,3,0
33,F,0,69,7,3,0
78,F,0,75,2,3,0
51,M,1,57,3,2,1
96,F,1,58,4,3,1
23,F,0,65,7,2,1
77,M,0,60,2,1,1
61,M,0,71,9,1,1
93,F,0,55,9,3,1
47,M,0,60,1,4,0
31,F,1,61,2,3,1
56,F,1,55,7,4,0
71,F,1,60,5,4,1
57,F,1,58,2,4,0
85,M,1,57,4,1,1
75,F,0,68,7,4,1
79,F,0,66,6,4,0
52,F,0,73,2,1,1
75,M,1,61,8,4,0
93,F,0,70,4,2,0
77,M,0,61,1,1,0
38,F,0,62,10,4,1
32,M,0,57,4,3,1
93,M,0,57,1,4,1
45,M,1,66,8,4,1
39,F,0,55,8,2,0
84,F,1,62,1,3,1
82,M,1,56,1,3,0
82,F,0,70,1,2,0
42,M,1,62,7,2,0
33,M,1,59,9,4,1
71,F,0,74,5,2,1
57,F,0,63,9,2,1
38,M,0,75,1,2,0
45,M,1,61,8,3,1
36,F,0,67,5,2,0
84,M,0,56,4,3,0
87,M,0,65,10,2,1
69,F,1,57,3,2,0
36,F,1,66,6,2,0
72,M,1,74,2,2,1
19,F,1,56,10,4,0
68,F,1,58,10,2,0
62,M,0,74,2,3,0
68,F,0,72,2,1,1
72,F,0,74,3,3,1
40,M,0,64,4,3,1
24,F,0,57,10,3,0
84,M,0,70,7,2,1
64,F,0,75,2,1,0
98,F,0,70,9,1,1
98,F,0,61,3,1,1
95,F,1,72,9,4,1
100,F,0,67,7,3,0
85,M,0,72,4,3,1
81,M,1,63,8,2,1
82,M,1,55,10,2,1
80,F,0,61,3,4,0
94,M,1,61,1,2,1
36,F,0,63,10,1,1
66,F,0,63,10,4,0
20,M,0,56,8,3,0
91,F,1,66,3,4,1
29,M,1,68,7,3,0
90,M,0,71,3,3,0
31,M,0,69,10,1,1
46,F,0,63,1,4,0
69,M,1,70,1,2,1
97,F,0,61,4,1,1
26,M,0,57,9,4,0
92,M,0,63,2,3,0
79,M,1,75,5,2,0
89,F,0,74,1,4,1
23,M,1,67,1,4,0
73,F,0,65,7,4,1
92,F,1,65,9,4,1
88,F,0,68,4,4,1
41,M,1,58,3,1,0
99,M,1,68,3,2,0
40,M,1,60,3,1,0
67,M,0,65,3,3,0
73,M,1,62,7,4,0
55,M,1,55,10,2,1
54,F,1,73,7,1,1
51,F,1,73,4,3,0
53,F,0,62,1,3,1
63,F,0,75,2,4,0
26,M,0,56,4,2,0
51,F,0,61,4,2,0
100,F,0,58,8,2,1
25,M,0,62,8,1,0
86,F,1,63,1,4,1
93,F,0,70,5,1,1
58,F,1,58,8,1,0
35,F,0,75,3,3,1
95,M,0,65,6,2,0
19,F,0,70,10,1,0
46,M,1,60,4,3,1
84,M,0,72,9,4,1
60,M,0,72,8,2,1
84,M,1,65,8,3,0
59,F,0,63,4,4,1
31,M,0,73,1,3,1
47,M,0,66,6,2,1
86,F,0,67,10,2,0
38,F,0,70,4,1,0
60,F,0,71,10,4,0
28,F,0,67,3,1,0
40,F,0,59,7,4,0
46,F,0,66,8,4,0
97,M,0,64,6,4,1
35,F,0,70,7,3,1
54,M,1,66,3,3,0
69,F,1,61,1,3,1
25,F,0,68,3,1,0
37,F,1,74,5,4,1
45,M,1,62,3,3,1
27,F,0,70,8,1,0
19,M,0,63,10,2,0
51,M,0,67,1,4,0
30,F,1,75,2,4,0
20,M,1,55,10,2,1
80,F,1,70,10,3,1
29,M,0,56,8,4,0
93,F,0,60,4,3,0
46,M,1,63,5,1,0
65,M,1,74,9,1,0
90,F,1,57,10,2,1
34,M,1,59,3,2,1
66,M,0,70,3,3,0
33,F,0,57,6,2,0
85,F,0,58,5,2,1
57,F,1,69,3,2,1
51,F,1,61,6,2,0
60,M,1,67,7,4,0
100,F,1,70,2,3,0
95,F,1,61,6,3,1
56,M,1,65,7,4,0
20,M,0,69,4,3,1
27,F,0,59,4,1,0
31,F,0,55,10,3,1
55,F,0,65,2,1,1
90,F,0,68,5,3,0
80,M,1,65,10,4,1
35,M,1,75,6,2,1
59,F,0,66,8,2,0
52,F,0,75,10,2,1
48,M,0,73,5,1,0
51,F,1,68,4,3,0
82,M,1,71,6,3,0
29,M,0,74,2,1,1
80,M,0,59,5,1,0
71,F,0,70,3,4,0
46,F,0,57,10,1,0
93,F,1,72,8,4,1
74,F,0,59,6,2,0
22,F,1,70,8,3,0
66,M,0,57,4,3,0
28,M,0,70,9,4,1
39,M,1,60,7,1,0
73,M,1,72,3,2,1
99,M,0,56,2,1,0
63,F,1,58,2,2,0
90,F,0,62,8,2,0
42,M,1,71,2,4,0
50,M,1,69,6,2,1
55,F,0,73,5,4,0
67,M,1,68,7,2,1
76,F,0,56,4,1,1
74,F,1,63,6,4,0
35,F,0,64,6,2,0
39,F,0,58,1,1,0
89,M,0,62,6,2,1
58,M,0,70,5,2,1
42,M,1,63,8,3,1
48,F,0,73,7,4,1
74,M,1,70,7,3,1
76,M,0,74,7,2,1
59,M,0,75,4,2,1
55,F,1,63,6,2,0
60,M,0,59,9,1,0
56,M,0,59,6,4,0
91,F,1,64,3,2,0
53,F,0,68,10,1,0
39,M,1,62,6,1,0
94,M,0,69,3,1,1
97,F,1,61,8,4,0
82,M,1,64,9,1,0
80,F,0,55,3,1,1
75,M,1,55,1,1,1
45,F,0,58,5,2,1
70,M,0,64,6,3,0
20,F,0,56,8,4,1
35,M,0,59,5,2,0
86,F,0,64,9,1,0
82,M,0,74,3,3,1
63,M,1,59,2,1,1
91,M,0,72,2,3,1
63,F,1,72,7,4,1
32,F,1,60,5,3,0
88,M,1,59,9,3,1
40,F,1,67,3,4,0
84,F,0,68,8,4,1
75,M,0,62,6,4,0
55,F,1,65,2,4,1
75,F,1,61,8,2,0
73,F,1,75,7,2,0
25,M,0,60,4,3,1
100,F,0,74,10,4,1
91,M,0,75,6,4,0
79,F,1,55,10,2,0
19,F,0,70,4,1,0
34,F,0,63,6,2,0
65,M,1,71,8,2,0
71,F,0,69,3,2,0
50,F,1,64,7,2,0
71,F,1,75,7,2,1
93,F,1,67,9,4,0
32,M,1,58,8,4,1
21,M,1,56,9,2,0
25,F,1,56,4,4,1
26,F,1,64,8,2,1
56,F,1,63,4,2,0
88,M,1,70,1,4,0
33,M,1,69,9,2,1
31,M,0,65,1,2,1
91,F,1,62,3,4,0
23,F,1,57,1,2,0
86,M,1,74,3,1,1
25,M,0,60,4,3,1
41,M,1,56,7,4,0
31,M,1,63,6,1,0
72,M,1,60,7,1,1
83,F,0,61,3,4,0
28,M,1,63,4,1,0
69,M,1,74,4,3,1
80,M,1,68,10,1,0
79,F,0,56,8,4,1
43,F,1,68,2,3,0
84,M,1,56,6,2,1
29,F,1,75,9,1,0
65,M,1,69,6,4,0
19,M,1,58,8,1,0
72,M,0,61,10,1,0
58,M,1,61,3,1,0
94,M,0,62,8,4,1
64,F,0,67,4,4,1
33,F,1,56,1,1,1
39,M,1,72,9,4,0
34,M,0,65,2,2,0
30,M,1,71,6,1,1
81,F,1,65,3,2,1
47,M,0,67,8,3,1
52,F,0,59,8,3,1
20,M,0,62,6,4,0
59,F,1,63,8,2,0
97,M,1,68,7,1,1
20,M,0,75,7,4,0
97,F,0,62,7,1,0
81,M,1,62,9,4,0
56,M,1,69,7,1,1
84,F,1,61,9,2,0
99,M,1,75,9,3,1
47,M,1,67,4,3,1
62,F,1,66,2,1,1
71,F,0,72,5,2,1
56,M,0,56,6,2,1
44,F,1,68,9,3,1
93,M,1,72,1,4,1
100,F,0,66,3,2,1
54,F,0,72,8,1,1
61,M,0,65,2,2,1
66,F,0,72,6,3,1
33,M,0,65,3,4,1
61,F,1,56,2,1,1
67,F,1,67,3,1,1
71,M,1,61,2,1,1
77,M,1,65,3,4,0
22,F,1,61,8,2,1
30,M,0,64,6,1,1
34,F,0,56,6,4,0
22,M,1,71,2,2,1
50,M,1,57,1,3,1
90,F,0,60,1,2,1
46,F,0,61,7,3,1
100,F,0,69,3,1,0
74,F,0,57,2,1,0
85,F,0,66,6,3,0
99,F,0,57,3,1,0
51,F,0,68,6,2,0
32,M,0,62,10,3,0
52,F,0,59,1,2,1
90,F,0,55,8,1,0
85,F,0,69,3,1,0
95,M,0,72,7,4,0
89,F,0,64,4,4,0
48,F,0,75,10,2,1
41,F,0,55,6,2,0
36,M,1,55,8,1,1
43,M,0,68,6,2,1
66,F,1,57,10,4,1
41,M,1,60,2,3,1
75,M,1,60,3,4,1
73,M,0,58,4,3,0
39,F,1,71,5,3,1
56,M,1,68,6,2,0
78,F,1,61,1,1,0
73,M,0,64,6,1,0
91,M,1,75,3,1,1
64,M,1,58,9,2,0
30,F,0,72,2,2,0
25,F,0,69,1,3,1
85,F,0,70,8,4,1
74,M,1,72,6,2,1
82,M,0,71,2,1,1
50,F,0,61,7,1,0
23,M,1,73,5,1,1
27,F,0,71,10,4,0
80,F,1,64,6,3,0
80,F,1,65,10,4,0
30,M,1,73,4,1,1
44,F,1,75,6,4,1
45,M,0,66,10,1,1
47,M,0,71,6,4,0
52,M,1,55,6,2,1
46,M,0,57,7,1,1
60,F,0,70,7,4,0
92,M,1,55,5,2,1
79,M,0,67,4,1,0
28,M,0,71,1,1,0
99,F,0,56,2,3,0
86,F,0,58,2,4,0
90,F,1,65,7,1,0
50,F,1,58,10,2,1
48,M,0,70,3,1,1
70,M,0,60,7,3,0
42,M,0,58,3,2,1
60,M,1,69,7,2,0
82,F,0,75,5,4,0
72,M,1,74,2,4,0
58,F,0,60,6,1,1
49,M,1,71,5,1,1
18,M,1,63,10,3,0
72,M,1,64,4,4,0
95,M,1,58,5,2,0
90,M,1,75,7,1,1
55,M,1,65,9,2,1
41,M,0,59,1,4,0
60,F,1,69,3,2,0
85,M,0,65,8,1,0
54,M,1,69,1,2,0
74,M,1,74,2,1,1
66,M,0,69,5,3,1
33,M,0,73,5,3,0
79,F,1,75,1,1,1
47,F,1,75,5,1,1
26,F,1,59,1,2,1
18,F,0,56,10,4,1
66,F,1,55,9,1,0
36,M,1,56,3,2,0
67,F,1,72,5,4,0
29,M,1,71,4,2,0
44,F,1,65,2,2,1
92,M,0,59,1,1,1
56,M,1,71,6,2,0
42,M,1,70,1,4,1
66,M,1,65,6,4,0
50,F,1,62,10,2,0
30,M,0,62,10,1,1
35,M,1,75,3,2,0
87,M,1,69,1,3,0
85,M,1,74,3,3,1
43,F,1,73,9,4,0
96,M,0,59,8,1,1
74,F,0,62,3,3,0
87,F,0,73,4,2,1
62,M,0,63,10,2,1
92,M,1,72,8,3,1
39,F,0,66,5,1,0
76,F,0,59,7,3,1
50,M,0,75,9,2,1
30,F,1,75,7,4,1
91,M,0,61,5,4,0
64,F,1,72,4,4,0
43,F,1,68,1,1,1
27,F,1,74,8,3,1
67,F,0,64,8,1,0
18,M,0,60,7,3,0
72,F,0,59,2,1,1
92,M,1,55,9,1,0
93,M,1,74,6,2,1
84,F,1,61,4,4,1
48,M,1,59,9,1,1
28,F,1,73,5,2,0
24,F,0,66,1,4,1
72,F,1,55,9,1,1
66,F,1,75,7,2,0
85,M,1,59,1,1,1
18,F,0,71,9,1,0
27,F,0,74,5,1,1
71,M,0,74,10,3,0
22,M,0,63,7,3,1
38,F,0,66,4,1,1
59,F,0,59,4,3,0
92,F,0,67,10,2,0
35,M,0,67,1,3,0
41,F,0,63,6,3,0
97,M,1,73,9,1,0
74,M,0,57,7,4,1
33,M,1,65,6,3,1
60,F,1,57,8,2,1
40,F,1,70,2,3,0
96,F,1,61,6,4,0
52,M,1,61,8,4,1
24,F,0,58,6,1,0
76,M,1,66,3,4,1
26,M,1,61,2,2,1
66,M,0,62,2,1,1
24,F,1,69,2,1,0
63,M,1,65,4,3,1
37,F,1,60,4,4,1
42,F,1,66,1,1,1
23,F,1,67,3,2,0
67,M,0,60,8,1,1
93,F,0,56,9,1,0
89,M,1,70,3,4,1
94,M,0,66,6,1,0
42,F,1,60,7,4,1
33,F,1,72,4,2,0
58,M,1,72,8,4,1
32,M,1,69,9,3,1
26,M,0,60,10,2,0
21,M,0,62,1,2,1
88,M,1,63,1,1,0
58,F,0,71,10,4,1
36,F,0,69,2,2,1
60,F,0,65,3,2,1
83,M,1,59,8,3,0
23,M,0,72,10,2,1
48,M,1,56,8,3,0
23,F,0,72,4,4,0
79,M,1,55,10,4,0
51,M,0,67,1,2,0
74,M,1,75,4,2,1
51,M,0,75,10,1,0
36,M,1,60,7,4,0
82,M,1,57,1,1,1
68,F,1,56,10,3,1
84,M,0,67,6,3,1
81,F,1,58,2,4,1
25,F,1,75,7,4,0
63,F,0,71,9,2,1
37,M,0,55,10,3,1
88,M,0,64,8,1,1
79,M,0,68,5,3,1
97,M,0,70,6,1,1
98,M,1,57,5,1,0
68,M,1,73,10,4,1
92,M,0,55,4,4,0
59,F,1,57,3,2,0
50,M,0,65,8,3,0
81,F,0,57,9,2,0
98,F,1,69,3,4,0
39,M,1,69,3,2,0
41,F,1,63,8,1,0
57,M,1,68,3,3,0
65,M,0,55,3,3,0
47,F,0,61,6,2,0
70,F,1,58,9,3,0
56,F,1,65,4,2,1
93,M,1,71,7,3,0
86,M,1,71,5,2,1
99,M,1,64,3,4,0
89,M,1,60,9,1,1
39,M,1,61,5,4,1
70,F,1,62,4,4,0
67,M,0,61,10,3,0
86,F,1,58,6,4,0
94,F,0,57,5,3,1
56,F,1,71,3,1,1
52,M,0,72,10,1,1
64,F,0,75,5,4,1
19,M,0,68,9,1,1
86,F,1,57,10,3,0
24,M,1,61,7,1,1
33,M,1,64,8,1,0
36,F,1,75,9,2,1
24,F,1,67,5,4,1
24,M,0,62,4,1,0
56,M,0,60,10,2,0
82,F,0,56,7,3,0
25,F,1,59,5,3,0
33,M,1,57,6,2,0
59,F,1,72,8,3,1
63,F,1,73,7,1,0
61,M,1,56,5,2,1
75,F,0,67,9,4,0
56,M,0,74,5,4,0
38,F,1,57,4,1,0
48,M,0,60,8,4,1
29,M,1,58,8,3,0
95,M,0,71,3,1,0
80,F,0,61,8,3,1
18,F,0,64,2,2,1
18,F,1,65,1,3,0
61,F,1,58,2,2,0
93,F,0,60,10,4,1
52,M,1,68,3,4,1
91,F,1,64,4,1,0
20,F,0,70,10,4,0
66,M,1,69,7,4,1
96,M,1,57,8,2,1
63,F,0,64,4,2,1
27,F,1,74,1,2,0
97,F,0,60,2,2,1
91,F,0,74,9,1,0
61,M,0,67,2,3,1
85,F,1,72,2,3,1
74,F,0,65,9,2,0
43,F,0,55,3,1,0
62,M,0,69,10,1,0
35,F,1,73,5,1,0
25,F,0,75,2,1,1
81,F,0,59,3,1,0
49,F,1,62,8,2,1
40,M,0,60,3,3,0
21,M,0,72,4,2,0
81,M,1,72,5,1,0
74,F,0,73,4,3,1
38,M,0,62,7,1,1
74,F,0,61,9,1,0
55,F,1,66,3,2,0
71,M,1,71,1,1,1
50,F,0,60,3,3,0
82,M,1,72,3,3,0
66,F,1,74,1,3,1
80,F,0,60,7,2,0
71,M,1,75,7,4,0
69,M,1,56,7,2,1
52,F,0,57,7,1,1
63,M,1,73,5,1,0
58,M,0,72,4,2,1
55,M,0,71,9,2,0
90,F,1,64,3,3,1
19,M,0,58,6,4,1
97,F,0,57,8,4,0
97,M,0,74,10,2,0
54,M,0,75,4,3,0
35,F,1,66,4,2,0
44,M,0,58,5,3,1
97,F,1,65,6,2,0
26,F,1,62,6,4,1
40,F,0,64,5,2,0
66,F,1,56,9,4,0
96,M,0,71,9,3,1
21,M,1,69,7,2,1
82,F,0,60,7,3,0
40,M,1,72,1,2,1
19,F,1,61,6,2,0
99,F,0,55,3,2,1
29,M,0,62,1,3,1
40,F,0,69,10,1,1
66,M,1,70,8,3,0
38,F,0,56,4,2,0
83,F,1,62,1,1,0
78,M,1,66,4,4,0
42,M,1,60,6,3,0
41,F,0,62,3,1,0
68,F,1,73,7,1,1
39,M,0,58,4,2,0
91,F,1,59,6,2,0
49,F,1,67,8,4,0
100,M,0,62,6,2,1
63,F,1,64,6,3,0
81,M,1,66,6,1,0
80,F,1,56,4,2,1
55,M,0,71,5,3,0
99,F,0,61,2,3,1
93,F,1,72,7,1,1
19,F,0,65,7,4,0
40,M,0,70,5,2,0
21,F,1,58,5,3,1
89,F,0,62,5,2,0
95,M,1,68,2,2,0
32,M,1,56,4,1,0
70,F,0,72,10,3,0
41,M,1,75,4,4,1
80,F,0,67,5,3,1
58,F,1,66,9,1,1
100,F,1,72,3,3,1
51,F,1,65,2,2,1
36,F,0,73,4,2,0
36,M,1,55,6,2,1
61,F,0,68,7,3,0
63,M,0,60,10,3,1
100,M,1,64,2,4,0
59,M,0,69,6,4,1
69,M,0,65,6,3,0
35,M,0,67,7,3,1
52,M,1,62,7,3,0
46,F,0,65,2,1,0
42,M,1,64,8,4,1
26,M,1,63,5,4,1
75,M,0,68,4,2,1
24,M,1,60,9,1,0
89,M,1,75,1,4,0
69,M,0,73,2,3,1
49,M,0,70,4,1,1
87,F,1,67,9,4,0
95,F,0,60,10,2,0
72,F,1,63,6,1,0
43,M,0,61,1,4,0
85,F,0,68,6,2,1
78,M,1,62,2,2,0
93,M,1,58,8,2,0
75,M,1,65,2,2,0
19,F,0,71,5,1,0
97,F,0,55,8,3,0
67,F,0,58,10,3,0
73,F,1,69,5,3,0
26,F,0,71,9,4,0
60,F,1,60,10,4,0
64,F,0,61,3,4,0
32,M,0,55,7,3,1
69,M,1,66,10,3,1
50,M,0,68,7,4,1
95,M,1,61,9,1,0
67,F,1,66,1,2,0
74,M,0,67,4,2,1
79,M,0,61,1,1,0
54,M,1,66,7,2,0
21,M,0,64,5,4,1
98,M,1,69,9,2,1
46,F,0,66,3,1,1
58,M,0,68,10,4,0
51,M,1,68,1,3,0
44,M,1,75,8,2,0
92,F,0,75,10,4,1
75,F,1,66,3,3,1
94,M,1,58,5,4,1
86,F,0,59,10,1,0
99,M,0,57,10,1,1
47,F,0,61,4,1,1
40,F,1,71,7,4,1
20,M,0,64,8,2,0
88,F,1,69,7,2,1
87,F,0,57,10,4,0
44,F,1,57,4,2,1
89,F,1,60,9,2,0
77,F,0,73,5,4,1
62,M,0,66,6,2,0
89,M,0,67,1,4,1
26,F,0,71,9,2,1
65,M,1,75,9,1,1
95,F,1,73,3,3,0
57,F,0,68,9,1,1
87,F,0,69,3,4,0
97,M,0,75,4,3,1
99,M,1,68,4,1,0
30,M,1,69,9,4,0
55,F,0,64,4,4,1
95,F,1,68,8,2,0
96,F,0,56,5,1,0
61,F,1,64,1,3,1
56,M,0,62,5,2,0
24,M,0,61,1,4,0
81,M,0,68,2,1,0
76,M,1,69,1,3,0
50,M,0,73,7,4,0
23,M,0,63,4,1,0
78,F,1,56,5,3,1
77,F,0,55,4,1,1
75,F,1,56,9,3,1
21,M,0,67,1,3,0
72,F,0,75,2,4,0
